filepath,status
openROAD_low_level_modules/gf55/aes/aes_rcon.v,Successful
openROAD_low_level_modules/gf55/aes/aes_sbox.v,Successful
openROAD_low_level_modules/gf12/aes/aes_rcon.v,Successful
openROAD_low_level_modules/gf12/aes/aes_sbox.v,Successful
openROAD_low_level_modules/gf12/gcd/RegEn_0x68db79c4ec1d6e5b.v,Successful
openROAD_low_level_modules/gf12/gcd/Mux_0xdd6473406d1a99a.v,Successful
openROAD_low_level_modules/gf12/gcd/RegRst_0x9f365fdf6c8998a.v,Successful
openROAD_low_level_modules/gf12/gcd/Mux_0x683fa1a418b072c9.v,Successful
openROAD_low_level_modules/gf12/gcd/Subtractor_0x422b1f52edd46a85.v,Successful
openROAD_low_level_modules/gf12/gcd/ZeroComparator_0x422b1f52edd46a85.v,Successful
openROAD_low_level_modules/gf12/gcd/LtComparator_0x422b1f52edd46a85.v,Successful
openROAD_low_level_modules/gf12/coyote/ClientTileLinkIOWrapper_1.v,Successful
openROAD_low_level_modules/gf12/coyote/bsg_nasti_client_req.v,Failed
openROAD_low_level_modules/gf12/coyote/RocketCAM.v,Successful
openROAD_low_level_modules/gf12/coyote/BroadcastAcquireTracker_1.v,Successful
openROAD_low_level_modules/gf12/coyote/CSRFile.v,Failed
openROAD_low_level_modules/gf12/coyote/Queue_5.v,Successful
openROAD_low_level_modules/gf12/coyote/JunctionsPeekingArbiter_0.v,Successful
openROAD_low_level_modules/gf12/coyote/LockingArbiter_0.v,Successful
openROAD_low_level_modules/gf12/coyote/RRArbiter_6.v,Successful
openROAD_low_level_modules/gf12/coyote/RecFNToIN_0.v,Successful
openROAD_low_level_modules/gf12/coyote/ALU.v,Successful
openROAD_low_level_modules/gf12/coyote/JunctionsPeekingArbiter_1.v,Successful
openROAD_low_level_modules/gf12/coyote/ReorderQueue_0.v,Successful
openROAD_low_level_modules/gf12/coyote/ClientTileLinkIOWrapper_0.v,Successful
openROAD_low_level_modules/gf12/coyote/MulDiv.v,Failed
openROAD_low_level_modules/gf12/coyote/Queue_7.v,Successful
openROAD_low_level_modules/gf12/coyote/MulAddRecFN_postMul_0.v,Successful
openROAD_low_level_modules/gf12/coyote/Queue_4.v,Successful
openROAD_low_level_modules/gf12/coyote/MulAddRecFN_preMul_0.v,Successful
openROAD_low_level_modules/gf12/coyote/LockingRRArbiter_1.v,Successful
openROAD_low_level_modules/gf12/coyote/Arbiter_9.v,Successful
openROAD_low_level_modules/gf12/coyote/RoundRawFNToRecFN.v,Successful
openROAD_low_level_modules/gf12/coyote/BroadcastAcquireTracker_5.v,Successful
openROAD_low_level_modules/gf12/coyote/LockingRRArbiter_7.v,Successful
openROAD_low_level_modules/gf12/coyote/Arbiter_7.v,Successful
openROAD_low_level_modules/gf12/coyote/Queue_0.v,Successful
openROAD_low_level_modules/gf12/coyote/Htif.v,Failed
openROAD_low_level_modules/gf12/coyote/Queue_11.v,Successful
openROAD_low_level_modules/gf12/coyote/IOMSHR.v,Failed
openROAD_low_level_modules/gf12/coyote/bsg_mem_1r1w_synth_width_p73_els_p128_read_write_same_addr_p0_harden_p0.v,Successful
openROAD_low_level_modules/gf12/coyote/BroadcastAcquireTracker_4.v,Successful
openROAD_low_level_modules/gf12/coyote/HellaCacheArbiter.v,Successful
openROAD_low_level_modules/gf12/coyote/Queue_8.v,Successful
openROAD_low_level_modules/gf12/coyote/BroadcastAcquireTracker_0.v,Successful
openROAD_low_level_modules/gf12/coyote/MulAddRecFN_preMul_1.v,Successful
openROAD_low_level_modules/gf12/coyote/LockingRRArbiter_5.v,Successful
openROAD_low_level_modules/gf12/coyote/LockingRRArbiter_0.v,Successful
openROAD_low_level_modules/gf12/coyote/bsg_counter_clear_up_max_val_p128_init_val_p0.v,Successful
